superseded_canonical_id,retained_canonical_id,merge_type,status,co_occurs_in_same_analysis_matrix,superseded_definition,retained_definition,rationale
MC0807,MC0025,states_or_scope_modified,applied,no,"Supratemporal fenestra: present, relatively large (0); almost closed or absent (1) (Wilson, 2002; Mannion et al., 2012).",Supratemporal fenestra: present (0); absent (1). 260,Both characters describe closure/presence of the supratemporal fenestra. The later formulation expands present/absent into relatively large versus almost closed/absent; the concepts never co-occur in the same analysed matrix.
MC0490,MC0171,states_or_threshold_modified,applied,no,"Radius, distal condyle orientation: perpen- dicular or bevelled less than 20° to long axis of shaft (0); bevelled at least 20° to long axis of shaft (1) (Curry Rogers & Forster, 2001; Wilson, 2002; Mannion et al., 2013; note that in most taxa only the lateral half of the distal end is bevelled, but this is used as the measure- ment in those instances).","Radius, distal condyle orientation: perpendicular to (0) or bevelled approximately 20° proximolat- erally (1) relative to long axis of shaft.",Both characters score orientation/bevelling of the distal radial condyle relative to the shaft. The later formulation formalizes an approximately 20° threshold; the concepts never co-occur in the same analysed matrix.
MC0634,MC0447,wording_variant,applied,no,"Ulna, distal end: prominently expanded pos- teriorly (0); unexpanded (1) (D’Emic, 2012).","Ulna, distal end: expanded posteriorly (0); unex- panded (1).",Both characters score posterior expansion versus non-expansion of the distal ulna. The later definition adds 'prominently' but does not change the biological proposition; the concepts never co-occur in the same analysed matrix.
MC0607,MC0128,states_or_wording_modified,applied_phase2,no,"Anterior caudal ribs, shape in anterior view: triangular, tapering distally (0); wing-like, with a dorsolaterally oriented dorsal margin (1) (Berman & McIntosh, 1978; McIntosh, 1990; Upchurch, 1995, 1998; Whitlock et al., 2011).","Anterior caudal transverse processes, shape: triangular, tapering distally (0); ‘wing-like’, not tapering distally (1).",Anterior caudal rib/transverse-process shape is the same triangular-versus-wing-like character.
MC0899,MC0194,states_reversed,applied_phase2,no,"Ischium, shape of distal shaft in trans- verse cross-section: triangular, depth of ischial shaft increases medially (0); blade-like, medial and lat- eral depths subequal (1) (Wilson, 2002; polarity reversed here).","Ischial distal shaft, shape: triangular, depth of ischial shaft increases medially (0); bladelike, medial and lateral depths subequal (1).",Same distal ischial shaft cross-sectional morphology; M19/M26 reverse the state polarity.
MC0802,MC0005,threshold_clarified,applied_phase2,no,"Subnarial foramen and anterior maxillary foramen, relative position: well distanced from one another (distance equals several subnarial foramen diameters) (0); separated by narrow bony isthmus (distance equals approximately one subnarial foramen diameter) (1) (Wilson, 2002; modified here).","Subnarial foramen and anterior maxillary fora- men, position: well distanced from one another (0); separated by narrow bony isthmus (1).",Same relative spacing of the subnarial and anterior maxillary foramina; M19/M26 quantify the distance.
MC0596,MC0437,serial_scope_narrowed,applied_phase2,no,"Middle caudal neural arches: situated over the mid-point of the centrum with approximately sube- qual amounts of the centrum exposed at either end (0); located on the anterior half of the centrum (1) (Calvo & Salgado, 1995; Upchurch, 1995, 1998; Salgado et al., 1997).","Anterior and middle caudal vertebrae, neural arches, location: over the midpoint of the centrum with approximately subequal amounts of the centrum exposed at either end (0), on the anterior half of the centrum (1). (Salgado et al., 1997; Upchurch et al., 2004.)",Same caudal neural-arch position over the centrum; M19/M26 restrict the character to middle caudals.
MC0687,MC0017,wording_variant,applied_phase2,no,"Postorbital, posterior (squamosal) process: present as a distinct process (0); absent (1) (Wilson, 2002, 2005b).","Postorbital, posterior process: present (0); absent (1).",Same postorbital posterior-process presence/absence character.
MC0863,MC0121,states_or_scope_modified,applied_phase2,no,"Anterior caudal neural spines, SPRL: ab- sent, or restricted to the anterolateral margin of the spine (0); present, extending onto lateral aspect of neural spine (1) (Wilson, 2002; Mannion et al., 2012; modified here).","Anterior caudal neural arches, spinoprezygapo- physeal lamina (sprl): absent (0); present and extending onto lateral aspect of neural spine (1).",Same anterior-caudal SPRL extension onto the lateral neural-spine surface.
MC0629,MC0163,wording_variant,applied_phase2,no,"Humeral distal condyles, articular surface: flat anteroposteriorly and restricted to distal portion of humerus (0); anteroposteriorly convex so that it curves up onto the anterior and posterior faces of the humerus (1) (Wilson, 2002; Upchurch et al., 2004).","Humeral distal condyles, articular surface shape: restricted to distal portion of humerus (0); exposed on anterior portion of humeral shaft (1).",Same humeral distal-condyle articular-surface exposure/convexity character.
MC0703,MC0333,states_reversed,applied_phase2,no,"Tooth crowns, longitudinal groove parallel- ing mesial and distal margins on the labial surface: labial grooves present (0); absent (1) (Upchurch, 1995; Poropat et al., 2016).",Prominent grooves near mesial and distal margins of labial surface of tooth crowns (U86) / absent present,"Same labial tooth-crown grooves near the mesial and distal margins, with reversed polarity."
MC0516,MC0030,threshold_or_scope_modified,applied_phase2,no,"Infratemporal (or laterotemporal) fenestra, anterior extension: reaching midpoint of orbit (0); reaching or surpassing anterior margin of orbit (1) (Upchurch, 1995, 1998; Ksepka & Norell, 2010; Mannion et al., 2013).","Laterotemporal fenestra, anterior extension: posterior to orbit (0); ventral to orbit (1).",Same anterior extent of the infratemporal/laterotemporal fenestra relative to the orbit.
MC0889,MC0189,wording_variant,applied_phase2,no,"Pubis, development of ambiens process: absent or small and confluent with anterior margin of pubis (0); prominent, projecting anteriorly (1) (McIntosh, 1990; Upchurch, 1998; modified here).","Pubis, ambiens process development: small, con- fluent with (0) or prominent, projecting anteri- orly from (1) anterior margin of pubis.",Same development of the pubic ambiens process.
MC0575,MC0100,wording_variant,applied_phase2,no,"Middle–posterior dorsal neural spines, spi- nopostzygapophyseal lamina (SPOL) shape: single (0); divided into medial and lateral branches (1) (Wilson, 1999, 2002).",Middle and posterior dorsal neural arches spino- postzygapophyseal lamina (spol) shape: single (0); divided (1).,Same single-versus-divided spinopostzygapophyseal lamina in middle/posterior dorsals.
MC0602,MC0122,scope_clarified,applied_phase2,no,"Anterior caudal neural spines, spinoprezyga- pophyseal lamina (SPRL)–spinopostzygapophyseal lamina (SPOL) contact: absent (0); present, forming a prominent lateral lamina on the neural spine (1) (Wilson, 1999, 2002; revised here so that only taxa in which the SPRL extends onto the lateral surface are scored).","Anterior caudal neural arches, spinoprezygapo- physeal lamina (sprl)-spinopostzygapophyseal lamina (spol) contact: absent (0); present, form- ing a prominent lamina on lateral aspect of neu- ral spine (1).",Same SPRL-SPOL contact forming a lateral lamina on anterior caudal neural spines.
MC0499,MC0242,states_collapsed,applied_phase2,no,"Ischium to pubis proximodistal length ratio: greater than 0.8 (0); 0.80 or less (1) (Calvo & Salgado, 1995; Salgado et al., 1997; Upchurch, 1998; Mannion et al., 2013).","Ischium/pubis length ratio (Salgado et al., 1997, modi-fied): 1.20 (0); between 1.20 and 0.80 (1); 0.80 (2).",Same ischium:pubis proximodistal length-ratio variable with a simplified state scheme.
MC0739,MC0440,wording_variant,applied_phase2,no,"Anterior–middle chevrons, articular facet sur- face: flat or anteroposteriorly convex (0); divided into anterior and posterior facets by a furrow (1) (Powell, 1987, 2003; Santucci & Arruda-Campos, 2011; D’Emic, 2012).","Anterior and middle chevrons, articular facets: contiguous (0); each facet divided into an anterior and posterior section, separated by a furrow (1).",Same division of anterior/middle chevron articular facets by a furrow.
MC0824,MC0074,threshold_modified,applied_phase2,no,"Teeth, number of replacement teeth per al- veolus: three or fewer (0); four or more (1) (Wilson, 2002).","Replacement teeth per alveolus, number: two or fewer (0); more than four (1).",Same number of replacement teeth per alveolus; state thresholds differ.
MC0664,MC0464,wording_variant,applied_phase2,no,"Metatarsals, distal end orientation of meta- tarsal IV: perpendicular to long axis of bone (0); bev- elled to face medially (1) (D’Emic, 2012).","Metatarsal IV, distal end, orientation: roughly perpendicular to long axis of bone (0); bevelled upwards medially (1).",Same distal metatarsal-IV orientation/bevelling character.
MC0494,MC0178,threshold_formalized,applied_phase2,no,"Metacarpals, metacarpal I to metacarpal IV proximodistal length ratio: less than 1.0 (0); 1.0 or greater (1) (Wilson & Sereno, 1998).","Metacarpal I, length: shorter than (0) or longer than (1) metacarpal IV.",Same metacarpal-I:metacarpal-IV proximodistal length relationship.
