canonical_character_id,matrices_present,preferred_label,final_action,retained_or_redirect_id,freeze_confidence,final_rationale
MC0256,GA11,SHORT_DEEP_SNOUT,FROZEN_CONSERVATIVE,MC0256,moderate,GA11's 'short deep snout' is a composite gross-morphology character and is not collapsed into the later quantitative premaxillary muzzle-length character.
MC0260,GA11,PREMAXILLA_ASCENDING_PROCESS_ORIENTATION,FROZEN_CONSERVATIVE,MC0260,moderate,"GA11 scores orientation of the premaxillary ascending process, whereas the later Whitlock character combines process shape and orientation in a three-state formulation."
MC0262,GA11; M19; M26,SUPRAOCCIPITAL_LONGITUDINAL_GROOVE,FROZEN_REAFFIRMED,MC0262,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0268,GA11; C12,CERVICAL_NEURAL_SPINE_HEIGHT,FROZEN_REAFFIRMED,MC0268,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0274,GA11,POST_DORSAL_NEURAL_SPINE_DORSAL_DEVELOPMENT,FROZEN_CONSERVATIVE,MC0274,moderate,GA11 measures posterior-dorsal neural-spine dorsal development as a percentage of total vertebral height; later spine-height characters use different denominators and/or serial scope.
MC0275,GA11; DE12; M19; M26,DORSAL_PRESPINAL_LAMINA_EXTENT,FROZEN_SCOPE_VARIANT,MC0275,moderate,"Prespinal-lamina development is retained as one canonical variable across GA11, DE12 and M19/M26. The occurrences differ in serial scope and whether extent or presence is emphasized, but all explicitly remain in the Salgado prespinal-lamina lineage."
MC0276,GA11,POST_DORSAL_CENTROPARAPOPHYSEAL_LAMINA,FROZEN_CONSERVATIVE,MC0276,moderate,"GA11's generic posterior-dorsal centroparapophyseal-lamina character is retained separately because the supplied sources do not establish whether it corresponds specifically to ACPL, PCPL, or a generalized/compound lamina."
MC0277,GA11; DE12,POST_DORSAL_CENTRODIAPOPHYSEAL_LAMINA_FORM,FROZEN_REAFFIRMED,MC0277,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0299,GA11; C12,TIBIA_DISTAL_TRANSVERSE_BREADTH,FROZEN_REAFFIRMED,MC0299,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0300,GA11; M19; M26,METATARSAL_I_RELATIVE_LENGTH,FROZEN_REAFFIRMED,MC0300,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
